Test Case ID,Module,Prerequisite,Test case description,Test Steps,Test Data,Priority,Expected Result,Actual Result,Status,Notes,Defect ID
nan,Install,nan,"Install
Size
Permissions
Logo
",nan,nan,nan,nan,nan,nan,nan,nan
CHQ-01,Login,"1 - User must have app installed.
2. For UAT and Staging app- VPN must be ""ON""",Validate that user got the recommendation from Google toolkit for the mobile number avaialble on device at login page.,"1 - Install the application and open it.
2- Tap on ""Mobile Number"" field",nan,P2,"1. Google Toolkit should display mobile number available in the device
2. User should be able to select mobile number from Google Toolkit",nan,nan,nan,nan
CHQ-02,Login,"1 - User must have app installed.
2. For UAT and Staging app- VPN must be ""ON""",Validate if new user can login with valid mobile number and Valid OTP.,"1 - Install the application and open it.
2 - Enter the valid mobile number in the ""Enter mobile number"" input box.
3 - Click on ""Send OTP"" button.
4 - Enter the OTP reveive on the given mobile number via SMS in ""Enter OTP"" input box.
5 - Click on the ""Verify and Continue"" button.",nan,P1,User should get logged in successfully and should get a option to select the language for the application.,nan,nan,"UAT/ Staging: any 4 digit OTP will work

Prod: Actual OTP gets autofilled from SMS received",nan
CHQ-03,Login,"1 - User must have app installed.
2. For UAT and Staging app- VPN must be ""ON""",Validate if existing user can login with valid mobile number.,"1 - Install the application and open it.
2 - Enter the valid mobile number in the ""Enter mobile number"" input box.
3 - Click on ""Send OTP"" button.
4 - Enter the OTP reveive on the given mobile number via SMS in ""Enter OTP"" input box.
5 - Click on the ""Verify and Continue"" button.",nan,P1,User should get logged in successfully and should navigates to the Chqbook Dashboard.,nan,nan,nan,nan
CHQ-04,Login,"1 - User must have app installed.
2. For UAT and Staging app- VPN must be ""ON""",Validate if user can login with a invalid mobile number.,"1 - Install the application and open it.
2 - Enter the invalid mobile number in the ""Enter mobile number"" input box.
3 - Click on ""Send OTP"" button.","1. Mobile number stttrting with digits 0-5
2. Less than 10 digits ",P1,"1. User should get an error message to input a valid mobile number.
Error message: ""Please enter a valid mobile number""

2. ""Send OTP"" button should b=not be available if user enters less than 10 digits",nan,nan,nan,nan
CHQ-05,Login,"1 - User must have app installed.
2 - For UAT and Staging app- VPN must be ""ON""",Validate if user can login with correct mobile number and incorrect OTP,"1 - Install the application and open it.
2 - Enter the valid mobile number in the ""Enter mobile number"" input box.
3 - Click on ""Send OTP"" button.
4 - Enter the 4 digit random OTP other than the received one on the given mobile number via SMS in ""Enter OTP"" input box.
5 - Click on the ""Verify and Continue"" button.",nan,P1,User should get an error message to enter the correct OTP.,nan,nan,nan,nan
CHQ-06,Login,"1 - User must have app installed.
2 - For UAT and Staging app- VPN must be ""ON""",Validate if user can login with correct mobile number and blank OTP.,"1 - Install the application and open it.
2 - Enter the valid mobile number in the ""Enter mobile number"" input box.
3 - Click on ""Send OTP"" button.
4 - Keep the ""Enter OTP"" input box blank.
5 - Click on the ""Verify and Continue"" button.",nan,P1,User shoud get an error message to enter teh OTP.,nan,nan,nan,nan
CHQ-07,Login,"1 - User must have app installed.
2 - For UAT and Staging app- VPN must be ""ON""",Validate if user can view Term and conditions.,"1 - Install the application and open it.
2 - Click on the Term and conditions link.",nan,P2,"User should get navigates to the ""Term and Condition"" Page with all the details.",nan,nan,nan,nan
CHQ-08,Login,"1 - User must have app installed.
2 - For UAT and Staging app- VPN must be ""ON""","Validate if user can make a login keeping ""I would like to receive updates from chqbook over whatsapp"" unselected","1 - Install the application and open it.
2 - Enter the valid mobile number in the ""Enter mobile number"" input box.
3 - Keep ""I would like to receive updates from chqbook over whatsapp"" consent unselected.
4 - Click on ""Send OTP"" button.
5 - Enter the OTP reveive on the given mobile number via SMS in ""Enter OTP"" input box.
6 - Click on the ""Verify and Continue"" button.",nan,P3,User should be able to login into the account and user should not get update on the whatsapp.,nan,nan,nan,nan
CHQ-09,Login,"1 - User must have app installed.
2 - For UAT and Staging app- VPN must be ""ON""","Validate if user can make a login keeping ""I would like to receive updates from chqbook over whatsapp"" selected","1 - Install the application and open it.
2 - Enter the valid mobile number in the ""Enter mobile number"" input box.
3 - Keep ""I would like to receive updates from chqbook over whatsapp"" consent selected. 
4 - Click on ""Send OTP"" button.
5 - Enter the OTP reveive on the given mobile number via SMS in ""Enter OTP"" input box.
6 - Click on the ""Verify and Continue"" button.",nan,P3,User should be able to login into the account and user should get update on the whatsapp.,nan,nan,nan,nan
